Model,Dependent,SR_const,SR_ln_EX.L1,SR_ln_EX.L2,SR_ln_EX.L3,SR_ln_EX.L4,SR_ln_EX.L5,SR_ln_EX.L6,SR_ln_RER_pos.L0,SR_ln_RER_neg.L0,SR_ln_FDI.L0,SR_IPI_VN.L0,SR_ln_M2_diff.L0,SR_ln_WTI.L0,SR_COVID.L0,SR_ln_RER_pos_L1.L0,SR_ln_RER_pos_L2.L0,SR_ln_RER_pos_L3.L0,SR_ln_RER_neg_L1.L0,SR_ln_FDI_L1.L0,SR_ln_FDI_L2.L0,SR_ln_FDI_L3.L0,SR_ln_FDI_L4.L0,SR_ln_FDI_L5.L0,SR_ln_FDI_L6.L0,SR_IPI_VN_L1.L0,SR_IPI_VN_L2.L0,SR_IPI_VN_L3.L0,SR_IPI_VN_L4.L0,SR_IPI_VN_L5.L0,SR_IPI_VN_L6.L0,SR_ln_M2_diff_L1.L0,SR_ln_M2_diff_L2.L0,SR_ln_M2_diff_L3.L0,SR_ln_M2_diff_L4.L0,SR_ln_M2_diff_L5.L0,SR_ln_WTI_L1.L0,SR_ln_WTI_L2.L0,LR_ln_RER_pos,LR_ln_RER_neg,LR_ln_FDI,LR_IPI_VN,LR_ln_M2_diff,LR_ln_WTI,LR_COVID,ECM(-1),Wald_stat,Wald_pval,SR_ln_IM.L1,SR_ln_IM.L2,SR_ln_IM.L3,SR_ln_WTI_L3.L0
Model_2_EX,ln_EX,2.8002378587588908,0.3330011030189039,0.2683912054657034,0.2049341036406367,0.0130405094525405,0.1737971477203581,-0.1867234628186862,-2.7678607995017046,3.2246193581513705,0.1437919484207253,0.0070769174906836,-13.104282048480286,0.1653627297410147,-0.0099081371747971,-1.072473074441831,-5.041997256501055,4.032109746152543,-4.331574753370299,0.3093412971461836,-0.4938471777575772,0.3744527251944697,-0.2297846626885085,-0.1326049062837873,0.1805273231386492,-0.0034942549912373,-0.0018151554479747,-0.0024032754682971,0.0004921370683423,-0.0027218455281039,0.0047125851794271,-38.4735024543256,-21.0341746005228,37.24297577941024,70.4950735214187,-40.57058931002916,0.0922852064341039,-0.1854230399795815,14.565181137002746,3.3241793651238707,-0.456084216518445,-0.0055468534070744,16.34979302822253,-0.2168908617441939,0.0297540671336293,0.3330011030189039,7.75316450691064,0.0066560446595575,,,,
Model_3_IM,ln_IM,1.5834297701032654,,,,,,,-0.3370406645166497,3.052481436042612,0.1024711926371679,0.0039771771045618,-6.216045160908834,0.1103411325427297,0.0036224864904024,-1.225290909402556,-4.482946451257909,2.457615973957189,-3.6234212487594775,0.3559662388720639,-0.2879299010901661,,,,,-0.0021359584065474,-0.0017655266463988,,,,,-36.31381400949361,-8.300779189599325,48.81161894279421,67.82425827436305,,0.0887305890671585,-0.0379333383790818,16.066866375342986,2.5568778631660765,-0.7635952517604966,-0.0003389767658214,-294.6999924800423,-0.1521671514311202,-0.0162228229852335,0.2232956923526625,7.864808192580599,0.0060784432445026,0.2232956923526625,0.4237137325845488,0.2453267992527807,-0.127160113798662
