,0
const,2.7375668105827016
ln_EX.L1,0.3365996660582651
ln_EX.L2,0.268898243244471
ln_EX.L3,0.20247476388917196
ln_EX.L4,0.01480547191298097
ln_EX.L5,0.17148271367031231
ln_EX.L6,-0.18501588899741428
ln_RER_pos.L0,-2.6977900510653825
ln_RER_neg.L0,3.0841838323217843
ln_FDI.L0,0.153524993822435
IPI_VN.L0,0.007020129942253844
ln_M2_diff.L0,-10.823339378668948
ln_WTI.L0,0.168369330489478
ln_RER_pos_L1.L0,-1.1752383226527954
ln_RER_pos_L2.L0,-4.897027205766399
ln_RER_pos_L3.L0,4.180072735454587
ln_RER_neg_L1.L0,-4.545936362063532
ln_FDI_L1.L0,0.30687647633379334
ln_FDI_L2.L0,-0.5013574229850244
ln_FDI_L3.L0,0.3783518097688052
ln_FDI_L4.L0,-0.2302187253688306
ln_FDI_L5.L0,-0.1396381075742057
ln_FDI_L6.L0,0.18154982904568628
IPI_VN_L1.L0,-0.0035191496695739094
IPI_VN_L2.L0,-0.0018690717866192783
IPI_VN_L3.L0,-0.0023809837985847467
IPI_VN_L4.L0,0.00046958494307373574
IPI_VN_L5.L0,-0.002649638931955075
IPI_VN_L6.L0,0.004706511141400457
ln_M2_diff_L1.L0,-35.85319955262453
ln_M2_diff_L2.L0,-18.580074618297886
ln_M2_diff_L3.L0,40.20867681549316
ln_M2_diff_L4.L0,71.80813573318449
ln_M2_diff_L5.L0,-38.30637833053845
ln_WTI_L1.L0,0.08581689584342378
ln_WTI_L2.L0,-0.17952908925155375
