,0
const,1.5877590028308362
ln_IM.L1,0.22166286422307735
ln_IM.L2,0.4233794253810146
ln_IM.L3,0.24747770820404824
ln_RER_pos.L0,-0.3430220986707013
ln_RER_neg.L0,3.120018862316627
ln_FDI.L0,0.09957481621784581
IPI_VN.L0,0.003993666921282862
ln_M2_diff.L0,-6.8806568338968646
ln_WTI.L0,0.11033198107517128
ln_RER_pos_L1.L0,-1.2012917385746853
ln_RER_pos_L2.L0,-4.524069542932203
ln_RER_pos_L3.L0,2.419860481545129
ln_RER_neg_L1.L0,-3.540629856999061
ln_FDI_L1.L0,0.35630647992382336
ln_FDI_L2.L0,-0.285276933267383
IPI_VN_L1.L0,-0.002122771058241324
IPI_VN_L2.L0,-0.0017731474485611631
ln_M2_diff_L1.L0,-37.3594861154927
ln_M2_diff_L2.L0,-9.523341256305685
ln_M2_diff_L3.L0,47.893636216555024
ln_M2_diff_L4.L0,67.62391689437777
ln_WTI_L1.L0,0.08859093526666317
ln_WTI_L2.L0,-0.03635688201598164
ln_WTI_L3.L0,-0.13000602697769548
