date,Actual,ARDL_NARDL,Random_Forest,Gradient_Boost,SVR
1970-01-01,17.37110490340902,17.00949300923624,17.239399680848678,17.3020534500809,17.14512269212248
1970-01-01,17.104816849817,17.08019415913926,17.279618656907125,17.301624711216572,17.14374552126558
1970-01-01,17.39183576681509,17.232280354511026,17.217533154851132,17.290460676545727,17.210718973558123
1970-01-01,17.36786267895951,17.274859131141802,17.27234210858295,17.322197000440056,17.201808384168338
1970-01-01,17.424520814350952,17.267738323799044,17.295960162145356,17.32983504774666,17.38681283988784
1970-01-01,17.351585975120294,17.192339233863695,17.309876041896068,17.292497253267097,17.338565110375963
1970-01-01,17.466581077895857,17.12585693691421,17.263304186657322,17.276022316589852,17.31657235679698
1970-01-01,17.463106322451505,17.198679294103012,17.322168014138107,17.332505823306473,17.37058080635372
1970-01-01,17.397123987646687,17.12822929219791,17.28881989672021,17.269362558835994,17.276653349886157
1970-01-01,17.478922346712018,17.068782366959148,17.29977895521615,17.291710616354802,17.217962465389004
1970-01-01,17.43320271674635,17.046429433310433,17.330263338952925,17.344795246475808,17.29435736186678
1970-01-01,17.50490108146,17.028785734011716,17.30337042828613,17.297290336453162,17.258969899887898
1970-01-01,17.32894927803362,16.911879632317778,17.29523688795859,17.31193209386504,17.230677779891828
1970-01-01,17.436416825892596,16.90351767904535,17.26850496447972,17.254484822437774,17.251905968949035
1970-01-01,17.563037834254246,17.024425104399647,17.351516536722535,17.404939056698012,17.368899882957464
1970-01-01,17.547867421860627,16.98971920750937,17.330686449080726,17.346186925988526,17.285810571666328
1970-01-01,17.59068150918315,16.941986862520366,17.329074265016718,17.313184954708127,17.37819718539272
1970-01-01,17.538191427907133,16.882415888015167,17.327940191065025,17.322152027640268,17.3307918206023
1970-01-01,17.61184491796885,16.96236714444618,17.335383230711603,17.341091597534835,17.379491081732155
1970-01-01,17.599586139924313,16.91600907263931,17.33060864122444,17.338541110459605,17.372740001735476
1970-01-01,17.592395417774235,16.92766167184805,17.336512614551836,17.338544120140902,17.370313292712634
1970-01-01,17.592918475210496,16.906881249772,17.340527749448857,17.349384206921833,17.338225748636287
1970-01-01,17.573221663903304,16.91026474581,17.332326454272508,17.340863134033107,17.32633144220294
1970-01-01,17.729845109709515,16.929667018489194,17.3373673726055,17.34602897245264,17.333939130348565
