date,Actual,ARDL_NARDL,Random_Forest,Gradient_Boost,SVR
2023-01-01,17.08137023088048,17.060975935164294,17.348780022919605,17.313878313100044,17.008974457020695
2023-02-01,17.167779670921004,16.952341735709908,17.31996301504531,17.366406896628295,17.065043459567878
2023-03-01,17.290141934708622,17.34446644431445,17.231968838199187,17.26187842495359,17.348064264281064
2023-04-01,17.238246575527185,17.153951177544783,17.245781051119867,17.3025090547192,17.285421579697175
2023-05-01,17.240262115826045,17.20284336986728,17.317313134482152,17.30147655421612,17.231730139357015
2023-06-01,17.283312418951976,17.213724456286016,17.282050764782614,17.27446233901128,17.347409535292787
2023-07-01,17.332661124348512,17.273917059042454,17.319581993370658,17.243865282403963,17.321788538768523
2023-08-01,17.38394383340234,17.28929389206786,17.37836664138733,17.39021569129052,17.369747509199293
2023-09-01,17.333305680505827,17.195933202611478,17.38285587552869,17.372952551211238,17.233686194266905
2023-10-01,17.377060803229696,17.12330161410089,17.382903436611773,17.369804830466233,17.18301240612286
2023-11-01,17.339024741474557,17.190981750234876,17.40943722759296,17.39895327946212,17.12221142398069
2023-12-01,17.35374614701543,17.050945971325724,17.41017592479028,17.399387118931134,17.07615658345442
2024-01-01,17.53414338276873,17.000484074354755,17.399450857856312,17.42157035330704,17.171995940148104
2024-02-01,17.20045219469953,16.88465319548743,17.401326835123957,17.414643506099008,17.121268268145077
2024-03-01,17.512421944575447,17.16060900824203,17.400418491209066,17.45540320318601,17.361084100295116
2024-04-01,17.451029556268153,17.047531127453574,17.353528832781954,17.39610100770004,17.287993118974555
2024-05-01,17.46179217084182,17.136074711647808,17.424465606238662,17.424300784444764,17.381170845574253
2024-06-01,17.501827456535544,17.112478885212465,17.418943494494798,17.407835168374024,17.312254537807444
2024-07-01,17.581583827046334,17.06220049733203,17.391174624626725,17.356674849400395,17.27757292769135
2024-08-01,17.635408888475652,17.13410469638823,17.42050272143454,17.450652827331123,17.35589182215966
2024-09-01,17.51621126493215,17.070016618189374,17.39011915902738,17.415351349940916,17.27906372529785
2024-10-01,17.577314537806803,17.089911836162575,17.39452410870968,17.402582754766957,17.215340527418725
2024-11-01,17.508984590817352,17.104459746506272,17.39890229057209,17.40794938182874,17.268688388016322
2024-12-01,17.55061185712831,17.02575833931495,17.398695270865606,17.35576598570893,17.160378336050332
2025-01-01,17.494398916894188,16.975341090082665,17.399794588753387,17.402512884808623,17.104961441614602
2025-02-01,17.432471445272643,16.791671947051693,17.383116058297002,17.346874636463628,17.14604502937108
2025-03-01,17.639517929578396,17.1261640008157,17.392549698508585,17.403961972367906,17.326512574863234
2025-04-01,17.613044598821695,16.99637726053969,17.396873241598616,17.41460729163984,17.286720856924244
2025-05-01,17.648529922368777,17.03243970975911,17.401316431075767,17.364450663619262,17.286466635683485
2025-06-01,17.649681291628234,17.00946184123682,17.402439744609296,17.328087583471767,17.27366392380613
2025-07-01,17.711543724571474,17.002609732204533,17.409782700745392,17.374970287259597,17.29019672654282
2025-08-01,17.731312932571033,17.07240031132209,17.403707280605055,17.384441827569105,17.26773827908708
2025-09-01,17.715766765361217,16.94972087599559,17.40544634413227,17.36440975849553,17.233958804305292
2025-10-01,17.704848410006836,17.073853557479566,17.404672066924736,17.40019384671876,17.194970335302685
2025-11-01,17.660718083951668,17.082544493271385,17.403229446688623,17.352831731354716,17.155139074823122
2025-12-01,17.751765133133503,17.046635253476776,17.400729798388436,17.363152480666574,17.1413099841653
