Model,BG_LM_stat,BG_p_value,BG_result,ARCH_LM_stat,ARCH_p_value,ARCH_result,RESET_F_stat,RESET_p_value,RESET_result,Durbin_Watson,CUSUM_stable,CUSUMSQ_stable
Model_2_EX,0.8126,0.9368,Fail to reject H0 ✓,1.5331,0.8208,Fail to reject H0 ✓,2.2535,0.1096,Fail to reject H0 ✓,2.0853,Yes ✓,No ✗
Model_3_IM,0.8294,0.9345,Fail to reject H0 ✓,1.4661,0.8326,Fail to reject H0 ✓,2.531,0.0838,Fail to reject H0 ✓,1.9226,Yes ✓,No ✗
