ln_FDI,ln_TB,ln_EX,ln_IM,ln_RER_pos,ln_RER_neg,IPI_VN,IPI_World_diff,ln_WTI,ln_M2_diff,COVID
0.00891514176443665,0.056151377998886476,16.66465867819237,16.608507300193487,0.0,0.0,100.0,,3.8548175316573667,,0
0.03137656658215525,-0.020925597727678404,16.308444403437157,16.329370001164836,0.0,0.006208268170142972,90.47267417,,3.923556241241819,0.0014257120625531527,0
0.009129201739705573,-0.040910607400003934,16.64358241307192,16.684493020471923,0.0006259542111362038,0.0,94.53143681,0.040181966951802206,3.867443962030179,-8.760095771576104e-05,0
0.09351037931648486,0.06318363535674686,16.629970983587135,16.56678734823039,0.00639583446571379,0.0,93.8708113,0.2064861249529315,3.9972828493789696,0.00033310943154996053,0
0.07016764783358848,-0.0020332480880746132,16.675574299694887,16.677607547782962,0.0032300076772013853,0.0,95.74831423,-0.3281484355309061,4.082103275799747,0.0005812960906275144,0
0.07630341754171752,0.05357487431019157,16.7086192891518,16.65504441484161,0.0033322825330319716,0.0,96.57383894,0.5134387364284398,4.091340053201802,0.0013799164435055467,0
0.11490957789469868,0.02851135613771231,16.69805392044239,16.669542564304678,0.0013759764186094259,0.0,96.93803377,-0.12494816912671514,3.929862923556477,0.000151251482565673,0
0.12582263132608987,0.09367296367027926,16.709232364841593,16.615559401171318,0.017043253423226545,0.0,93.68408531,-0.37061260643468374,3.7581722806098856,0.0009977711411512935,0
0.13466025521931854,0.041837288395218726,16.67379010335448,16.631952814959263,0.013505923308274603,0.0,96.24246362,0.5960401487297706,3.8172726688823353,0.0011871976459696398,0
0.45444826952544526,0.09917680622569111,16.71530313360899,16.6161263273833,0.0,0.004707613431623514,96.41928683,-0.45481693832269965,3.8334126048462345,0.000306156154033399,0
0.4640163663047135,0.08433787622282399,16.688691338568894,16.60435346234607,0.00611940716359527,0.0,98.02122595,-0.21090826751926084,3.7480913137457823,0.0009634078392797285,0
0.4911821478045654,0.019099413760126895,16.68066997240004,16.661570558639912,0.007054721617938853,0.0,100.2902579,-0.0573360409362067,3.6160399079369787,0.0022791211067034745,0
0.1364573578103352,0.1286340126544179,16.646205203348586,16.51757119069417,0.0,0.0060332607301987196,118.2265927,1.0106557675976457,3.455685566946225,0.0009327542958543766,0
0.16971070656237244,0.0653096385714475,16.395154572013947,16.329844933442498,0.0002000218235931328,0.0,108.3481525,-0.7221500912557355,3.411807560774171,0.00032048677619478383,0
0.15600581514202067,0.10379542886543269,16.755348970735145,16.651553541869713,0.0,3.25410110271207e-05,113.7601978,-0.3535352413801762,3.6256733782101436,0.0013332213153018913,0
0.24890252197193558,0.08621684514329861,16.702988187463678,16.61677134232038,0.0,0.0016498348684432784,111.0597135,0.8463104838091873,3.7074558396868715,0.0005921395628805115,0
0.23100219115569245,0.05219477357368069,16.70802185873869,16.65582708516501,0.002674121914738592,0.0,112.389446,-0.8611912803054622,3.8439582745140166,0.0010115239589860714,0
