,0
const,3.382232556180657
ln_IM.L1,0.29406275295227013
ln_IM.L2,0.3650675771786355
ln_IM.L3,0.11642325505617324
ln_REER_pos,-0.5929495876639095
ln_REER_neg,0.7724681521943522
ln_FDI,0.045448606432632044
IPI_VN,0.004663596763307033
IPI_World_diff,0.0003325417043856249
ln_M2_diff,8.867876294389362
ln_WTI,0.07947694960757667
COVID,0.011356676120194642
ln_REER_pos_L1,1.5605327889167744
ln_REER_pos_L2,-1.1469502614502467
ln_REER_pos_L3,-0.15675900044323043
ln_REER_neg_L1,0.018062756455357487
ln_FDI_L1,0.2781767983859065
ln_FDI_L2,-0.41739744125857037
IPI_VN_L1,-0.0027293226631062047
IPI_VN_L2,-0.0016415823598712395
IPI_World_diff_L1,0.010121623085195847
IPI_World_diff_L2,0.007913335439700298
IPI_World_diff_L3,0.003542433949517615
IPI_World_diff_L4,0.0027738377907053774
ln_M2_diff_L1,-16.52227835303927
ln_M2_diff_L2,-0.5290009762536556
ln_M2_diff_L3,42.04004007237693
