,0
const,7.362223488653097
ln_EX.L1,0.1636843269595949
ln_EX.L2,0.30647098365515635
ln_EX.L3,0.15234835351018972
ln_EX.L4,0.18461399208977536
ln_EX.L5,0.02335966582716842
ln_EX.L6,-0.29467579144603345
ln_REER_pos,0.14127585096581718
ln_REER_neg,-0.15228349353389348
ln_FDI,-0.07830375038934156
IPI_VN,0.005941183767896511
IPI_World_diff,0.013095021444619631
ln_M2_diff,13.922874799565307
ln_WTI,0.09130145567241921
COVID,-0.00962024723742455
ln_REER_pos_L1,0.9129450157322836
ln_REER_pos_L2,-0.6092698608251013
ln_REER_pos_L3,-0.7453179784328299
ln_REER_neg_L1,1.3205548796735798
ln_FDI_L1,0.2875229059341011
ln_FDI_L2,-0.5254231486307313
ln_FDI_L3,0.18453593193530904
ln_FDI_L4,0.03960474079342369
ln_FDI_L5,-0.1660481486061519
ln_FDI_L6,0.08933281968248785
IPI_VN_L1,-0.0009829617740679721
IPI_VN_L2,-0.001471804613062597
IPI_VN_L3,-0.002161072081880988
IPI_VN_L4,-0.0014378529046234455
IPI_VN_L5,-0.00023993610069588875
IPI_VN_L6,0.0015154501221636904
IPI_World_diff_L1,0.01854932290324751
IPI_World_diff_L2,0.0136053345308208
IPI_World_diff_L3,0.013635699346689956
IPI_World_diff_L4,0.004973541720191266
IPI_World_diff_L5,0.00031526253876099086
ln_M2_diff_L1,-15.993996225142268
ln_M2_diff_L2,-51.38131267718552
