,0
const,1.0262455947567393
ln_IM.L1,0.33325743414510267
ln_IM.L2,0.42394822632489676
ln_IM.L3,0.1561970771376977
ln_RER_pos,-0.039281629655363304
ln_RER_neg,2.5995449007440787
ln_FDI,0.1512800747876466
IPI_VN,0.0029586847301096755
IPI_World_diff,0.006872674354156019
ln_M2_diff,-0.42494159180284896
ln_WTI,0.09147498423183142
COVID,0.014327455691063862
ln_RER_pos_L1,-2.9546608388211077
ln_RER_pos_L2,-3.8188284808686674
ln_RER_pos_L3,2.525174350832785
ln_RER_neg_L1,-5.924934468825567
ln_FDI_L1,0.279333115882777
ln_FDI_L2,-0.38980752244858086
IPI_VN_L1,-0.001848631917241066
IPI_VN_L2,-0.0007007410167223296
IPI_World_diff_L1,0.014490058049451327
IPI_World_diff_L2,0.011240354658977866
IPI_World_diff_L3,0.006322109245487064
IPI_World_diff_L4,0.003835592170764207
ln_M2_diff_L1,0.5352458493918135
ln_M2_diff_L2,9.447942199107132
ln_M2_diff_L3,56.775831050114334
