,0
const,3.468587333703006
ln_EX.L1,0.2753598311998493
ln_EX.L2,0.31719041736509596
ln_EX.L3,0.19445326262255702
ln_EX.L4,0.16256167497577523
ln_EX.L5,0.044198697356059385
ln_EX.L6,-0.23950127372662822
ln_RER_pos,-2.6042100603567633
ln_RER_neg,2.420927504199696
ln_FDI,0.08964198489648456
IPI_VN,0.004690636770313259
IPI_World_diff,0.019116244094358498
ln_M2_diff,15.082833241415187
ln_WTI,0.12266426679302095
COVID,-0.006490293312073625
ln_RER_pos_L1,-3.2611963953047933
ln_RER_pos_L2,-4.1983926386084
ln_RER_pos_L3,2.5769293147068453
ln_RER_neg_L1,-6.023596921993089
ln_FDI_L1,0.2668256565469447
ln_FDI_L2,-0.546359904566097
ln_FDI_L3,0.3234792566443305
ln_FDI_L4,0.019936500246712452
ln_FDI_L5,-0.13704797520801182
ln_FDI_L6,0.15779536248414594
IPI_VN_L1,-0.0011716086308307533
IPI_VN_L2,-0.0007403923390068463
IPI_VN_L3,-0.002421034372024228
IPI_VN_L4,-0.0013442637227795758
IPI_VN_L5,0.0002783535632763304
IPI_VN_L6,0.00292132099309568
IPI_World_diff_L1,0.02297465831383795
IPI_World_diff_L2,0.018314914500928987
IPI_World_diff_L3,0.01603117302028581
IPI_World_diff_L4,0.008670179671711742
IPI_World_diff_L5,0.0013708135717692
ln_M2_diff_L1,0.13502872856872727
ln_M2_diff_L2,-38.367014626702144
